,importance
Bit_1694,0.00029200522619099987
Bit_12,0.00029176065962638033
Bit_2000,0.00029138118857640694
Bit_2001,0.00029130398989046314
Bit_1158,0.0002905770558335718
Bit_419,0.00029054284606555927
Bit_1047,0.0002904329804383417
Bit_1561,0.0002900525930762419
Bit_751,0.000289706687734324
Bit_437,0.00028905451640798453
Bit_1923,0.0002887733133085258
Bit_1035,0.0002880066838223606
Bit_424,0.00028704785590479557
Bit_524,0.0002870321227125858
Bit_1920,0.0002868711788916601
Bit_1030,0.0002864480694409548
Bit_767,0.00028549878127686793
Bit_441,0.0002847613786068545
Bit_503,0.00028467892538470085
Bit_408,0.0002845951267739547
Bit_1344,0.0002844448000083562
Bit_548,0.00028397688993128076
Bit_309,0.0002837764465931517
Bit_534,0.0002824919673054998
Bit_808,0.00028183662118200177
Bit_255,0.0002815076714035
Bit_1043,0.0002801544490382263
Bit_625,0.0002800669250920255
Bit_1826,0.0002797987386424241
Bit_70,0.0002783094295111241
Bit_1599,0.0002780802457929126
Bit_214,0.000277791580516141
Bit_1437,0.0002773174160625985
Bit_2017,0.000277051248574003
Bit_1434,0.00027633199545699455
Bit_1273,0.0002762912260033494
Bit_469,0.00027589492527500814
Bit_1734,0.0002753855446734761
Bit_987,0.00027501838847095156
Bit_901,0.000275012043838773
Bit_1530,0.00027482070123653867
Bit_1193,0.00027480776080341025
Bit_2030,0.00027442114865286
Bit_1867,0.0002738596811741921
Bit_35,0.0002735611570422799
Bit_185,0.00027306296117111966
Bit_1291,0.0002726561748946112
Bit_1367,0.0002723600506979234
Bit_1758,0.00027212393764406806
Bit_1221,0.0002716300234155944
Bit_1629,0.0002709134997404463
Bit_164,0.00027087454833028986
Bit_1934,0.0002707122736703785
Bit_815,0.00027012023110134487
Bit_752,0.00026997668062911427
Bit_1332,0.00026959690864851254
Bit_960,0.00026952255445910874
Bit_1484,0.00026828451789347136
Bit_1200,0.00026796777851627177
Bit_613,0.00026629382881951694
Bit_660,0.0002656346373332611
Bit_1359,0.00026538164017648086
Bit_401,0.00026493168311084587
Bit_1857,0.00026480808482753064
Bit_2028,0.0002641550841718528
Bit_2043,0.00026386255138330687
Bit_1481,0.0002633484284498277
Bit_1828,0.0002630065527958516
Bit_1989,0.00026267036597561223
Bit_355,0.00026257479355464627
Bit_130,0.0002623828541705583
Bit_1135,0.000262075258882123
Bit_916,0.00026196330128853534
Bit_1973,0.0002612668771811847
Bit_1897,0.0002610715942930081
Bit_908,0.0002605207414861032
Bit_690,0.00026039707891074057
Bit_585,0.00026011733200369724
Bit_1299,0.00025983330942878165
Bit_1552,0.0002590624119162049
Bit_1402,0.00025905434000772265
Bit_629,0.000258713763781971
Bit_713,0.00025865091572223195
Bit_1949,0.00025830377663113845
Bit_46,0.0002577914350712993
Bit_738,0.0002576526588855889
Bit_710,0.00025745301657703303
Bit_993,0.0002570350334036482
Bit_1915,0.0002570300362131271
Bit_284,0.00025633484434607254
Bit_865,0.0002562458413827028
Bit_874,0.000254707094986931
Bit_1901,0.00025462588798600533
Bit_1470,0.0002544939815488112
Bit_1249,0.0002540743539679623
Bit_1779,0.0002536901710157242
Bit_146,0.00025355850324016604
Bit_90,0.0002535219138797129
Bit_478,0.0002530527831044047
Bit_1139,0.00025287859774358385
Bit_61,0.00025263993548646594
Bit_514,0.00025197248099274346
Bit_1369,0.00025078889195019144
Bit_1765,0.0002507563333821382
Bit_1815,0.0002503588656710818
Bit_1463,0.0002498286319245886
